idx,Cheung10k7b64,DettmersAll7b64
arguments;score,0.3036772486772487,0.29731481481481475
arguments;score binary,0.6906349206349206,0.5303835978835978
bsp_ds;Beispiel,0.7278740936890244,0.8264304051796595
bsp_ds;Beispiel_für,0.5583613272756338,0.6242762710899115
bsp_ds;Erzählposition,0.8333333333333334,0.7222222222222222
bsp_ds;Wiedergabeform,0.7142857142857143,0.8333333333333334
bsp_ds;wiedergabe_binary,1.0,1.0
bsp_ds;in_gedankengang,0.42857142857142855,0.5833333333333334
bsp_ds;Modus_Zeit,0.7333333333333333,0.5370370370370371
bsp_ds;total_distance,0.831399608742107,0.824934336272153
bsp_ds;Modus_Zeit_Beispiel,0.7749326080083847,0.7847327888011932
bsp_ds;Modus_Zeit_Text,0.875,1.0
redewiedergabe;score,0.45083333333333336,0.6750925925925926
redewiedergabe;score binary,0.6388888888888888,0.8222222222222224
