idx,redeArgBspBspsynth7B64r16_1000
gpt4_annotated_examples_eval;Beispiel,0.0875
gpt4_annotated_examples_eval;Beispiel_für,0.38144841269841273
gpt4_annotated_examples_eval;Erzählposition,0.775
gpt4_annotated_examples_eval;erzählposition_binary,0.5
gpt4_annotated_examples_eval;Wiedergabeform,0.5833333333333333
gpt4_annotated_examples_eval;wiedergabe_binary,0.5
gpt4_annotated_examples_eval;in_gedankengang,1.0
gpt4_annotated_examples_eval;Modus_Zeit_Beispiel,0.75
gpt4_annotated_examples_eval;Modus_Zeit_Text,0.875
redewiedergabe;score,0.6354166666666666
redewiedergabe;score binary,0.75
arguments;score,0.2904761904761905
arguments;score binary,0.7541666666666667
