idx,OnlyBsp7b64_300
bsp_ds_clean;Beispiel,0.8124279277889352
bsp_ds_clean;Beispiel_für,0.4899986621580626
bsp_ds_clean;Erzählposition,0.7350877192982456
bsp_ds_clean;erzählposition_binary,0.5263157894736842
bsp_ds_clean;Wiedergabeform,0.8421052631578947
bsp_ds_clean;wiedergabe_binary,0.8421052631578947
bsp_ds_clean;in_gedankengang,0.631578947368421
bsp_ds_clean;Modus_Zeit,0.4444444444444444
bsp_ds_clean;total_distance,0.8627069741487503
bsp_ds_clean;Modus_Zeit_Beispiel,0.9582299590110779
bsp_ds_clean;Modus_Zeit_Text,1.0
