idx,DettmersAll7b64_4000
bsp_ds_clean;Beispiel,0.875
bsp_ds_clean;Beispiel_für,0.5
bsp_ds_clean;Erzählposition,0.6666666666666666
bsp_ds_clean;erzählposition_binary,1.0
bsp_ds_clean;Wiedergabeform,1.0
bsp_ds_clean;wiedergabe_binary,1.0
bsp_ds_clean;in_gedankengang,0.0
bsp_ds_clean;Modus_Zeit,1.0
bsp_ds_clean;total_distance,0.7686294615268707
arguments;score,0.20376984126984127
arguments;score binary,0.710515873015873
redewiedergabe;score,0.4583333333333333
redewiedergabe;score binary,0.5833333333333334
gpt4_annotated_examples_eval;Beispiel,0.0
gpt4_annotated_examples_eval;Beispiel_für,0.23076923076923078
gpt4_annotated_examples_eval;Erzählposition,1.0
gpt4_annotated_examples_eval;erzählposition_binary,1.0
gpt4_annotated_examples_eval;Wiedergabeform,1.0
gpt4_annotated_examples_eval;wiedergabe_binary,1.0
gpt4_annotated_examples_eval;in_gedankengang,1.0
gpt4_annotated_examples_eval;Modus_Zeit_Beispiel,0.5
gpt4_annotated_examples_eval;Modus_Zeit_Text,0.5
