idx,Cheung40k7b64
redewiedergabe;score,0.38776984126984126
redewiedergabe;score binary,0.5552380952380952
bsp_ds_clean;Beispiel,0.7929727878859815
bsp_ds_clean;Beispiel_für,0.43179016954758587
bsp_ds_clean;Erzählposition,0.7411764705882352
bsp_ds_clean;erzählposition_binary,0.6470588235294118
bsp_ds_clean;Wiedergabeform,0.8823529411764706
bsp_ds_clean;wiedergabe_binary,0.8823529411764706
bsp_ds_clean;in_gedankengang,0.47058823529411764
bsp_ds_clean;Modus_Zeit,1.0
bsp_ds_clean;total_distance,0.8394098103046417
bsp_ds_clean;Modus_Zeit_Beispiel,0.8960409462451935
bsp_ds_clean;Modus_Zeit_Text,1.0
arguments;score,0.20972957084068197
arguments;score binary,0.4722516166960611
