idx,redeArgBspBspsynth7B64r16_1000
gpt4_annotated_examples_eval;Beispiel,0.5605409683656352
gpt4_annotated_examples_eval;Beispiel_für,0.377508486783694
gpt4_annotated_examples_eval;Erzählposition,0.8598389355742297
gpt4_annotated_examples_eval;erzählposition_binary,0.4411764705882353
gpt4_annotated_examples_eval;Wiedergabeform,0.8183823529411763
gpt4_annotated_examples_eval;wiedergabe_binary,0.7205882352941176
gpt4_annotated_examples_eval;in_gedankengang,0.8382352941176471
gpt4_annotated_examples_eval;Modus_Zeit_Beispiel,0.7919117647058823
gpt4_annotated_examples_eval;Modus_Zeit_Text,0.6941590272472624
bsp_ds_clean;Beispiel,0.7036260969375003
bsp_ds_clean;Beispiel_für,0.24013371699775204
bsp_ds_clean;Erzählposition,0.8296296296296295
bsp_ds_clean;erzählposition_binary,0.3333333333333333
bsp_ds_clean;Wiedergabeform,0.8333333333333334
bsp_ds_clean;wiedergabe_binary,0.9444444444444444
bsp_ds_clean;in_gedankengang,0.5
bsp_ds_clean;Modus_Zeit,1.0
bsp_ds_clean;total_distance,0.841459047794342
bsp_ds_clean;Modus_Zeit_Beispiel,0.16666666666666666
bsp_ds_clean;Modus_Zeit_Text,1.0
arguments;score,0.3767460317460318
arguments;score binary,0.8112169312169313
redewiedergabe;score,0.6896133633633634
redewiedergabe;score binary,0.8556306306306307
