idx,gpt-4
categories_annotation_eval;classification_1,0.3333333333333333
categories_annotation_eval;classification_2,0.6666666666666666
categories_annotation_eval;3a_1,1.0
categories_annotation_eval;3a_2,1.0
categories_annotation_eval;classification_num_1,0.6666666666666666
categories_annotation_eval;classification_num_2,0.6666666666666666
categories_annotation_eval;3anum_1,1.0
categories_annotation_eval;3anum_2,1.0
categories_annotation_eval;4c_1,0.0
categories_annotation_eval;4c_2,1.0
categories_annotation_eval;4dnum_1,1.0
categories_annotation_eval;4dnum_2,1.0
categories_annotation_eval;: 2a_1,0.0
categories_annotation_eval;: 2a_2,0.0
categories_annotation_eval;: 2a_num_1,0.0
categories_annotation_eval;: 2a_num_2,0.0
