idx,DettmersAll7b64
bsp_ds_clean;Beispiel,0.6910122558474541
bsp_ds_clean;Beispiel_für,0.5557023238609818
bsp_ds_clean;Erzählposition,0.7019607843137254
bsp_ds_clean;erzählposition_binary,0.5294117647058824
bsp_ds_clean;Wiedergabeform,0.9058823529411765
bsp_ds_clean;wiedergabe_binary,0.9411764705882353
bsp_ds_clean;in_gedankengang,0.6470588235294118
bsp_ds_clean;Modus_Zeit,0.45555555555555555
bsp_ds_clean;total_distance,0.8632834196090698
bsp_ds_clean;Modus_Zeit_Beispiel,0.8960409462451935
bsp_ds_clean;Modus_Zeit_Text,1.0
