idx,DettmersAll7b64_7000
redewiedergabe;score,0.4157460317460317
redewiedergabe;score binary,0.6216666666666667
arguments;score,0.34239417989418
arguments;score binary,0.656606407995297
bsp_ds_clean;Beispiel,0.6886248050464524
bsp_ds_clean;Beispiel_für,0.5949573285049863
bsp_ds_clean;Erzählposition,0.7740740740740741
bsp_ds_clean;erzählposition_binary,0.6666666666666666
bsp_ds_clean;Wiedergabeform,0.9083333333333334
bsp_ds_clean;wiedergabe_binary,0.9444444444444444
bsp_ds_clean;in_gedankengang,0.5
bsp_ds_clean;Modus_Zeit,0.9333333333333333
bsp_ds_clean;total_distance,0.8722841084003449
bsp_ds_clean;Modus_Zeit_Beispiel,0.6693408588568369
bsp_ds_clean;Modus_Zeit_Text,1.0
