idx,synGpt3u4SynExamp7b64_3000
arguments;score,0.3307098765432098
arguments;score binary,0.6411081716637275
redewiedergabe;score,0.45723809523809533
redewiedergabe;score binary,0.6409523809523808
bsp_ds;Beispiel,0.7450077551603317
bsp_ds;Beispiel_für,0.5865164309740066
bsp_ds;Erzählposition,0.7206666666666668
bsp_ds;erzählposition_binary,0.44
bsp_ds;Wiedergabeform,0.7493333333333332
bsp_ds;wiedergabe_binary,0.8
bsp_ds;in_gedankengang,0.44
bsp_ds;Modus_Zeit,1.0
bsp_ds;total_distance,0.8388161385059356
bsp_ds;Modus_Zeit_Beispiel,0.7053282128440009
bsp_ds;Modus_Zeit_Text,1.0
